,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.18,0.25,0.04,-0.0,-0.0,-0.73,-0.08,-0.0,-1.88,-0.0,-0.06,-0.0
TP53,0.24,1.52,-0.01,-0.47,-0.0,-0.0,-0.25,-0.29,-0.83,-0.0,-0.05,-0.0
KRAS,0.06,-0.0,1.12,0.0,-0.0,-1.08,-0.0,-0.0,-0.64,-0.0,-0.0,-0.0
PIK3CA,-0.0,-0.31,0.0,0.43,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,-0.0,-0.16,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.68,-0.0,-0.94,-0.0,-0.0,0.17,-0.0,0.0,0.0,0.0,-0.0,0.0
ARID1A,-0.08,-0.17,-0.0,0.0,0.0,-0.0,-0.35,0.0,0.1,0.0,0.24,0.0
SOX9,-0.0,-0.2,-0.0,0.0,-0.0,0.0,0.0,-0.16,0.0,-0.0,0.0,0.0
RNF43,-1.49,-0.51,-0.45,-0.0,0.0,0.0,0.07,0.0,0.35,-0.0,0.4,0.0
SMAD4,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.48,-0.0,-0.0
KMT2D,-0.06,-0.03,-0.0,0.0,0.0,0.0,0.24,0.0,0.61,-0.0,-0.5,0.0
PTPRS,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.7
Observation,0.54,2.05,0.88,0.19,0.0,0.36,0.01,0.0,0.0,0.09,0.0,0.0
