,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.08,0.3,0.07,-0.0,-0.0,-0.64,-0.01,-0.0,-1.92,-0.0,-0.0,-0.0
TP53,0.27,1.63,-0.11,-0.31,-0.0,-0.0,-0.01,-0.22,-1.13,-0.0,-0.13,-0.01
KRAS,0.08,-0.08,1.25,0.01,0.0,-1.21,-0.01,0.0,-1.02,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.19,0.01,0.46,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,-0.15,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
BRAF,-0.58,-0.0,-1.09,-0.0,0.0,0.27,0.0,0.0,0.0,-0.0,0.0,0.0
ARID1A,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.39,0.0,0.02,-0.0,0.01,0.0
SOX9,-0.0,-0.16,0.0,0.0,-0.0,0.0,0.0,-0.28,0.0,-0.0,0.0,0.0
RNF43,-1.47,-0.68,-0.76,-0.0,0.0,0.0,0.01,0.0,0.48,-0.0,0.31,0.02
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45,-0.0,-0.0
KMT2D,-0.0,-0.09,-0.0,-0.0,0.0,0.0,0.01,0.0,0.47,-0.0,-0.51,0.01
PTPRS,-0.0,-0.01,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.03,-0.0,0.01,-0.55
Observation,0.8,1.93,0.68,0.14,0.0,0.35,0.01,0.0,0.0,0.04,0.0,0.0
