,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.24,0.6,0.0,-0.01,0.0,-0.83,-0.18,-0.0,-1.93,-0.0,-0.1,-0.0
TP53,0.49,1.87,-0.3,-0.47,-0.01,-0.0,-0.37,-0.32,-0.88,-0.0,-0.28,-0.01
KRAS,0.0,-0.19,1.7,0.06,-0.0,-1.35,-0.0,-0.0,-1.38,0.01,-0.0,-0.0
PIK3CA,-0.0,-0.32,0.07,0.75,0.0,-0.0,0.0,0.0,-0.32,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,0.0,0.07,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.74,-0.0,-1.32,-0.0,-0.0,0.65,0.0,0.0,0.16,-0.0,-0.0,0.0
ARID1A,-0.16,-0.25,-0.0,0.0,-0.0,0.0,-0.1,0.0,0.53,-0.0,0.61,0.0
SOX9,-0.0,-0.21,-0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.0,-0.0,0.0
RNF43,-1.47,-0.54,-1.07,-0.23,-0.0,0.14,0.35,0.0,0.64,0.0,0.7,0.18
SMAD4,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28,-0.0,-0.0
KMT2D,-0.1,-0.21,-0.0,0.0,0.0,-0.0,0.57,-0.0,1.01,-0.0,-0.44,0.21
PTPRS,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.29,-0.0,0.24,-0.5
Observation,0.98,2.22,0.53,0.31,0.0,0.48,0.06,0.1,0.0,0.39,0.04,0.0
