,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.33,0.35,0.15,-0.05,-0.0,-0.89,-0.2,0.0,-1.77,-0.15,-0.01,-0.0
TP53,0.32,1.83,-0.07,-0.48,-0.0,-0.0,-0.36,-0.34,-1.06,-0.0,-0.3,-0.01
KRAS,0.17,-0.05,1.41,0.0,0.0,-1.29,-0.07,0.0,-1.19,0.0,-0.08,-0.07
PIK3CA,-0.03,-0.31,0.01,0.62,0.0,-0.0,0.0,-0.0,-0.01,-0.0,0.0,0.0
FBXW7,-0.0,-0.0,0.0,0.0,-0.06,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.84,-0.0,-1.14,-0.0,0.0,0.52,-0.0,-0.0,0.04,0.0,0.0,-0.0
ARID1A,-0.16,-0.26,-0.06,0.0,-0.0,-0.0,-0.07,0.0,0.36,0.0,0.47,0.26
SOX9,0.0,-0.21,0.0,-0.0,-0.0,-0.0,-0.0,-0.06,-0.0,0.0,-0.0,-0.0
RNF43,-1.34,-0.63,-0.89,-0.0,0.0,0.03,0.24,-0.0,0.49,-0.0,0.67,0.0
SMAD4,-0.14,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.29,-0.04,-0.0
KMT2D,-0.01,-0.22,-0.07,0.0,0.0,0.0,0.44,-0.0,0.96,-0.04,-0.4,0.16
PTPRS,-0.0,-0.01,-0.06,0.0,0.0,-0.0,0.28,-0.0,0.0,-0.0,0.18,-0.46
Observation,0.8,2.09,0.89,0.25,0.0,0.39,0.09,0.06,0.0,0.13,0.01,0.19
