,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.16,0.04,0.0,-0.0,-0.0,-0.65,-0.0,-0.0,-1.84,-0.0,-0.0,-0.0
TP53,0.03,1.64,-0.01,-0.64,-0.01,-0.0,-0.29,-0.0,-0.95,0.0,-0.11,-0.0
KRAS,0.01,-0.0,1.11,0.0,0.0,-0.91,-0.01,-0.0,-0.93,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.44,0.0,0.43,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
FBXW7,-0.0,-0.0,0.0,-0.0,-0.38,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.66,-0.0,-0.83,-0.0,-0.0,0.03,0.0,0.0,0.0,-0.0,0.0,-0.0
ARID1A,-0.0,-0.21,-0.01,0.0,0.0,0.0,-0.39,0.0,0.39,-0.0,0.01,0.0
SOX9,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.61,-0.0,-0.0,-0.0,-0.0
RNF43,-1.42,-0.57,-0.68,-0.0,0.0,0.0,0.26,-0.0,0.33,-0.0,0.43,0.0
SMAD4,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6,-0.0,-0.0
KMT2D,-0.0,-0.08,-0.0,0.0,0.0,0.0,0.01,0.0,0.64,-0.0,-0.67,0.0
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.01,-0.0,0.0,-0.77
Observation,0.58,1.8,0.76,0.0,0.0,0.38,0.01,0.0,0.0,0.0,0.0,0.0
