,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.07,0.32,0.0,-0.0,-0.0,-0.84,-0.01,-0.0,-1.69,-0.0,-0.09,-0.01
TP53,0.3,1.56,-0.01,-0.37,-0.0,-0.01,-0.24,-0.01,-0.93,-0.0,-0.05,-0.16
KRAS,0.01,-0.0,1.24,0.0,-0.0,-1.06,-0.0,0.0,-0.91,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.23,0.0,0.41,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,-0.0,-0.19,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.71,-0.01,-0.9,0.0,-0.0,0.11,0.0,-0.0,0.0,0.0,0.0,0.0
ARID1A,-0.0,-0.16,-0.0,0.0,-0.0,0.0,-0.33,-0.0,0.28,0.0,0.21,0.0
SOX9,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.37,0.0,-0.0,0.0,0.0
RNF43,-1.24,-0.51,-0.67,-0.0,0.0,0.0,0.21,0.0,0.35,-0.0,0.4,0.0
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.52,-0.0,-0.0
KMT2D,-0.08,-0.03,-0.0,0.0,0.0,0.0,0.22,0.0,0.59,-0.0,-0.51,0.0
PTPRS,-0.0,-0.11,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54
Observation,0.74,1.96,0.69,0.26,0.0,0.16,0.01,0.01,0.0,0.01,0.01,0.0
