,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.34,0.32,0.05,0.0,-0.0,-1.16,-0.04,-0.0,-1.7,-0.08,-0.3,-0.0
TP53,0.34,1.89,-0.15,-0.5,-0.0,-0.25,-0.34,-0.25,-0.82,-0.0,-0.23,-0.05
KRAS,0.06,-0.1,1.56,0.19,0.0,-1.29,-0.08,0.0,-1.1,0.0,-0.14,-0.01
PIK3CA,0.0,-0.3,0.2,0.62,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04,-0.0,-0.01
FBXW7,-0.0,-0.0,0.0,0.0,0.02,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.99,-0.16,-1.08,0.0,-0.0,0.54,0.0,0.0,0.2,-0.0,0.0,0.0
ARID1A,-0.04,-0.23,-0.08,-0.0,0.0,0.0,-0.14,-0.0,0.08,-0.0,0.55,0.01
SOX9,-0.0,-0.17,0.0,-0.0,0.0,0.0,-0.0,-0.03,-0.0,-0.0,0.0,-0.0
RNF43,-1.38,-0.49,-0.8,-0.0,0.0,0.2,0.06,-0.0,0.45,-0.0,0.57,0.08
SMAD4,-0.07,0.0,0.0,-0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.26,0.0,0.0
KMT2D,-0.28,-0.16,-0.12,-0.0,0.0,0.0,0.49,0.0,0.8,0.0,-0.3,0.06
PTPRS,-0.0,-0.03,-0.01,-0.01,0.0,0.0,0.01,-0.0,0.12,0.0,0.06,-0.48
Observation,0.78,2.26,0.57,0.46,0.0,0.04,0.32,0.11,0.0,0.22,0.0,0.16
