,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.15,0.15,0.02,-0.0,-0.0,-0.81,-0.0,-0.0,-1.96,-0.0,-0.0,-0.0
TP53,0.14,1.63,-0.15,-0.58,-0.0,-0.0,-0.1,-0.11,-1.09,-0.0,-0.11,-0.0
KRAS,0.03,-0.11,1.22,0.0,0.0,-1.06,-0.01,-0.0,-0.96,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.36,0.0,0.34,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
FBXW7,-0.0,-0.0,0.0,0.0,-0.34,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
BRAF,-0.71,-0.0,-0.94,-0.0,-0.0,0.19,0.0,0.0,0.0,-0.0,0.0,0.0
ARID1A,-0.0,-0.07,-0.0,-0.0,0.0,0.0,-0.51,0.0,0.27,-0.0,0.23,0.0
SOX9,0.0,-0.07,-0.0,-0.0,-0.0,0.0,0.0,-0.31,-0.0,-0.0,-0.0,0.0
RNF43,-1.44,-0.63,-0.68,-0.0,-0.0,0.0,0.17,-0.0,0.37,-0.0,0.4,0.0
SMAD4,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.48,-0.0,-0.0
KMT2D,-0.0,-0.08,-0.0,-0.0,0.0,0.0,0.23,-0.0,0.6,-0.0,-0.61,0.01
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,-0.65
Observation,0.64,1.86,0.78,0.05,0.0,0.27,0.02,0.0,0.0,0.0,0.0,0.0
