,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.26,0.44,0.12,-0.0,0.0,-0.68,-0.01,-0.0,-1.79,-0.0,-0.23,-0.19
TP53,0.39,1.76,-0.19,-0.43,-0.0,-0.0,-0.05,-0.32,-1.03,-0.0,-0.25,-0.17
KRAS,0.14,-0.13,1.5,0.1,-0.0,-1.26,-0.03,0.0,-1.11,0.04,-0.01,-0.0
PIK3CA,0.0,-0.31,0.11,0.63,-0.0,-0.0,-0.0,0.0,-0.09,-0.01,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,-0.0,0.06,-0.01,-0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.67,-0.0,-1.18,-0.0,-0.01,0.32,0.0,-0.0,0.24,-0.0,0.0,0.0
ARID1A,-0.01,-0.04,-0.03,0.0,-0.0,0.0,-0.32,0.01,0.39,-0.0,0.45,0.01
SOX9,-0.0,-0.24,0.0,0.0,0.0,-0.0,0.01,-0.14,0.0,-0.0,-0.0,-0.0
RNF43,-1.46,-0.67,-0.82,-0.06,0.0,0.2,0.24,0.0,0.63,-0.0,0.66,0.21
SMAD4,-0.0,0.0,0.04,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2,-0.0,-0.01
KMT2D,-0.23,-0.17,-0.01,-0.0,0.0,0.0,0.37,-0.0,0.98,-0.0,-0.32,0.18
PTPRS,-0.2,-0.12,-0.0,-0.0,0.0,0.0,0.01,-0.0,0.31,-0.01,0.2,-0.4
Observation,0.79,2.01,0.82,0.24,0.0,0.39,0.6,0.0,0.0,0.29,0.01,0.15
