,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.23,0.45,0.25,-0.0,-0.0,-0.75,-0.01,0.0,-1.9,-0.0,-0.29,-0.0
TP53,0.37,1.9,-0.0,-0.4,-0.0,-0.0,-0.22,-0.38,-1.09,-0.0,-0.52,-0.07
KRAS,0.28,-0.0,1.39,0.06,-0.0,-1.19,-0.0,-0.0,-0.98,-0.0,-0.01,-0.04
PIK3CA,0.0,-0.27,0.06,0.7,0.0,-0.0,0.0,-0.0,-0.11,-0.0,0.0,-0.0
FBXW7,-0.0,-0.0,-0.0,0.0,0.05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
BRAF,-0.7,-0.0,-1.03,-0.0,-0.0,0.28,0.0,-0.0,0.42,0.0,0.0,0.0
ARID1A,-0.01,-0.17,-0.0,0.0,0.0,0.0,-0.2,-0.0,0.43,-0.0,0.49,0.01
SOX9,0.0,-0.25,-0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,0.0,-0.0,0.0
RNF43,-1.52,-0.74,-0.67,-0.08,-0.0,0.34,0.28,0.0,0.6,-0.0,0.54,0.17
SMAD4,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.21,-0.0,-0.0
KMT2D,-0.25,-0.39,-0.0,0.0,0.0,0.0,0.43,-0.0,0.77,-0.0,-0.17,0.0
PTPRS,-0.0,-0.05,-0.03,-0.0,0.0,0.0,0.02,0.0,0.26,-0.0,0.01,-0.4
Observation,0.99,2.01,0.89,0.14,0.01,0.71,0.2,0.01,0.0,0.22,0.01,0.12
