,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.32,0.44,0.17,-0.07,0.0,-0.85,-0.01,-0.0,-1.92,-0.08,-0.04,-0.0
TP53,0.34,1.98,-0.23,-0.64,-0.0,-0.0,-0.26,-0.19,-1.19,0.0,-0.18,-0.02
KRAS,0.22,-0.16,1.56,0.01,-0.0,-1.11,-0.25,0.0,-1.06,0.06,-0.0,-0.03
PIK3CA,-0.04,-0.43,0.01,0.79,0.08,-0.0,0.0,-0.0,-0.07,-0.03,-0.0,0.0
FBXW7,0.0,-0.0,-0.0,0.1,0.15,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
BRAF,-0.79,-0.0,-1.0,-0.0,0.0,0.49,0.0,-0.0,0.16,0.0,0.04,-0.0
ARID1A,-0.01,-0.21,-0.21,0.0,0.0,0.0,0.02,-0.0,0.33,-0.0,0.32,0.11
SOX9,0.0,-0.12,0.0,0.0,0.0,-0.0,-0.0,-0.02,-0.0,-0.01,0.0,-0.0
RNF43,-1.49,-0.8,-0.79,-0.05,-0.0,0.12,0.22,-0.0,0.6,-0.0,0.57,0.18
SMAD4,-0.06,0.0,0.05,-0.04,-0.0,0.0,-0.0,-0.01,-0.0,0.03,-0.01,-0.0
KMT2D,-0.04,-0.14,-0.0,0.0,-0.0,0.04,0.3,0.0,0.91,-0.01,-0.31,0.17
PTPRS,-0.0,-0.02,-0.02,0.0,0.0,0.0,0.12,0.0,0.28,-0.0,0.19,-0.43
Observation,0.96,2.13,0.68,0.24,0.0,0.61,0.27,0.23,0.0,0.03,0.01,0.14
