,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.42,0.21,0.06,0.0,0.0,-0.99,-0.01,-0.0,-1.76,-0.11,-0.26,-0.01
TP53,0.21,1.7,-0.01,-0.49,-0.0,-0.0,-0.4,-0.41,-0.87,0.0,-0.36,-0.0
KRAS,0.08,-0.01,1.33,0.04,-0.0,-1.16,-0.24,0.0,-1.06,0.0,-0.0,-0.0
PIK3CA,0.0,-0.36,0.04,0.6,-0.01,-0.0,-0.0,-0.0,-0.06,-0.0,-0.07,0.0
FBXW7,0.0,0.0,0.0,-0.01,-0.14,-0.0,0.12,-0.0,0.0,-0.0,0.0,-0.0
BRAF,-0.93,-0.0,-1.03,-0.0,-0.0,0.37,-0.0,0.0,0.02,0.0,0.0,0.0
ARID1A,-0.01,-0.27,-0.2,-0.0,0.13,-0.0,-0.32,0.0,0.56,0.0,0.41,0.05
SOX9,-0.0,-0.3,0.0,-0.0,-0.0,0.0,0.0,-0.11,0.0,0.0,0.0,-0.0
RNF43,-1.32,-0.56,-0.8,-0.04,0.0,0.02,0.36,0.0,0.55,-0.0,0.6,0.26
SMAD4,-0.1,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.26,0.0,-0.0
KMT2D,-0.25,-0.27,-0.0,-0.05,0.0,0.0,0.4,0.0,0.98,0.0,-0.53,0.02
PTPRS,-0.01,-0.0,-0.0,0.0,-0.0,0.0,0.06,-0.0,0.42,-0.0,0.02,-0.64
Observation,0.53,2.14,0.92,0.2,0.0,0.58,0.16,0.01,-0.0,0.0,0.0,0.0
