,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.24,0.32,0.16,-0.01,0.0,-0.87,-0.0,-0.0,-1.61,-0.0,-0.23,-0.05
TP53,0.26,1.81,-0.13,-0.57,-0.0,-0.09,-0.13,-0.25,-0.96,-0.0,-0.42,-0.0
KRAS,0.2,-0.09,1.37,0.01,-0.0,-1.06,-0.19,0.0,-1.05,0.0,-0.32,-0.0
PIK3CA,-0.01,-0.37,0.01,0.59,0.0,0.0,-0.0,-0.0,-0.02,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,0.0,-0.06,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.81,-0.06,-0.98,0.0,0.0,0.4,0.0,-0.0,0.01,-0.0,0.0,0.0
ARID1A,-0.0,-0.09,-0.18,0.0,-0.0,0.0,-0.16,-0.0,0.33,0.0,0.42,0.0
SOX9,-0.0,-0.19,0.01,-0.0,0.0,-0.0,-0.0,-0.12,-0.0,-0.0,0.0,-0.0
RNF43,-1.26,-0.55,-0.77,-0.02,-0.0,0.01,0.23,-0.0,0.39,0.0,0.45,0.14
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.29,-0.0,-0.0
KMT2D,-0.2,-0.28,-0.28,-0.0,0.0,0.0,0.37,0.0,0.6,-0.0,-0.27,0.01
PTPRS,-0.05,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.2,-0.0,0.01,-0.45
Observation,0.85,2.12,0.74,0.2,0.0,0.61,0.17,0.06,0.0,0.25,0.0,0.0
