,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.31,0.27,0.07,-0.0,0.0,-0.91,-0.01,-0.0,-1.92,-0.0,-0.12,-0.07
TP53,0.24,1.85,-0.09,-0.63,-0.0,-0.0,-0.53,-0.2,-0.97,0.0,-0.19,-0.0
KRAS,0.08,-0.06,1.35,0.1,0.0,-1.18,-0.2,0.0,-0.99,0.0,-0.21,-0.01
PIK3CA,0.0,-0.43,0.1,0.61,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,0.0,0.0,-0.11,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
BRAF,-0.85,-0.0,-1.06,-0.0,-0.0,0.39,0.0,-0.0,0.0,-0.0,0.11,0.0
ARID1A,-0.01,-0.4,-0.17,-0.0,0.0,0.0,-0.23,-0.0,0.63,-0.0,0.17,0.09
SOX9,-0.0,-0.15,0.0,0.0,0.0,-0.0,-0.0,-0.1,0.0,0.0,-0.0,-0.0
RNF43,-1.41,-0.55,-0.71,-0.0,0.0,0.0,0.39,0.0,0.6,-0.0,0.47,0.36
SMAD4,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.25,-0.0,-0.0
KMT2D,-0.12,-0.14,-0.2,-0.0,0.0,0.13,0.17,-0.0,0.72,-0.0,-0.41,0.13
PTPRS,-0.08,-0.0,-0.01,-0.0,-0.0,0.0,0.1,-0.0,0.54,-0.0,0.13,-0.55
Observation,0.7,2.1,0.9,0.09,0.0,0.42,0.31,0.0,0.0,0.15,0.01,0.17
