,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.45,0.19,0.1,-0.0,-0.0,-1.14,-0.13,0.0,-1.68,-0.0,-0.19,-0.01
TP53,0.19,1.88,-0.0,-0.39,-0.0,-0.0,-0.01,-0.41,-1.04,-0.0,-0.3,-0.07
KRAS,0.13,-0.0,1.45,0.21,-0.0,-1.24,-0.06,-0.0,-1.13,0.0,-0.0,-0.01
PIK3CA,-0.0,-0.28,0.22,0.63,0.0,-0.0,-0.0,-0.1,-0.0,-0.01,0.0,-0.0
FBXW7,0.0,-0.0,-0.0,0.0,0.13,0.0,0.0,0.01,-0.0,-0.0,0.0,-0.0
BRAF,-1.06,-0.0,-1.08,0.0,0.0,0.54,-0.0,0.0,0.0,0.0,0.0,0.0
ARID1A,-0.13,-0.01,-0.06,-0.0,0.0,-0.0,-0.22,-0.0,0.28,0.0,0.69,0.37
SOX9,0.0,-0.29,0.0,-0.08,0.0,0.0,-0.0,0.12,0.0,-0.0,0.0,0.0
RNF43,-1.31,-0.59,-0.81,-0.0,-0.0,0.0,0.18,0.0,0.73,0.0,0.75,0.24
SMAD4,-0.0,-0.0,0.0,-0.01,-0.0,-0.0,0.0,-0.0,0.0,-0.01,-0.0,-0.0
KMT2D,-0.18,-0.23,-0.0,0.0,0.0,0.0,0.6,0.0,1.1,-0.0,-0.27,0.0
PTPRS,-0.01,-0.05,-0.0,-0.0,0.0,0.0,0.37,0.0,0.36,0.0,0.0,-0.45
Observation,0.64,2.2,0.87,0.58,0.0,0.44,0.45,0.0,0.0,0.19,0.0,0.04
