,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.39,0.34,0.04,-0.0,0.0,-0.98,-0.01,-0.0,-2.12,-0.0,-0.15,-0.0
TP53,0.27,1.81,-0.02,-0.33,-0.0,-0.0,-0.51,-0.07,-1.28,-0.0,-0.19,-0.0
KRAS,0.04,-0.02,1.47,0.0,0.0,-1.2,-0.03,0.0,-1.3,-0.0,-0.01,-0.0
PIK3CA,-0.0,-0.25,0.0,0.57,0.0,-0.0,0.0,0.0,-0.11,-0.05,-0.01,0.0
FBXW7,0.0,-0.0,0.0,0.0,0.05,-0.0,0.0,-0.0,-0.0,-0.02,0.0,0.0
BRAF,-0.91,-0.0,-1.02,-0.0,-0.0,0.48,0.0,-0.0,0.08,-0.0,0.0,0.0
ARID1A,-0.01,-0.38,-0.03,0.0,0.0,0.0,-0.16,-0.0,0.37,-0.0,0.25,0.01
SOX9,-0.0,-0.05,0.0,0.0,-0.0,-0.0,-0.0,-0.14,-0.0,0.0,0.0,-0.0
RNF43,-1.64,-0.82,-0.9,-0.08,-0.0,0.06,0.22,-0.0,0.74,-0.0,0.57,0.21
SMAD4,-0.0,-0.0,-0.0,-0.06,-0.02,-0.0,-0.0,0.0,-0.0,-0.29,-0.0,0.0
KMT2D,-0.16,-0.14,-0.01,-0.0,0.0,0.0,0.23,0.0,0.89,-0.0,-0.28,0.11
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.01,-0.0,0.34,0.0,0.13,-0.51
Observation,0.59,2.24,0.87,0.33,0.0,0.28,0.05,0.17,0.0,0.31,0.01,-0.0
