,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.36,0.39,0.19,-0.0,-0.0,-0.99,-0.23,-0.0,-1.85,-0.0,-0.01,-0.0
TP53,0.3,2.03,-0.29,-0.5,-0.0,-0.0,-0.54,-0.42,-1.02,-0.0,-0.21,-0.07
KRAS,0.2,-0.21,1.58,0.17,-0.0,-1.38,-0.32,-0.0,-1.15,0.0,-0.1,-0.0
PIK3CA,0.0,-0.37,0.21,0.67,0.0,-0.0,0.0,0.0,-0.3,-0.09,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,-0.0,0.01,0.0
BRAF,-0.89,-0.0,-1.28,-0.0,0.0,0.58,-0.0,0.0,0.34,-0.0,0.0,0.0
ARID1A,-0.18,-0.37,-0.25,0.0,0.0,-0.0,0.12,0.0,0.22,-0.0,0.31,0.0
SOX9,0.0,-0.28,-0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,-0.0,-0.0
RNF43,-1.4,-0.6,-0.85,-0.2,0.0,0.32,0.16,0.0,0.77,-0.0,0.58,0.13
SMAD4,-0.0,-0.0,0.0,-0.09,-0.0,-0.0,-0.0,0.0,-0.0,-0.12,-0.0,-0.0
KMT2D,-0.01,-0.14,-0.09,-0.0,0.01,0.0,0.34,0.0,0.92,-0.0,-0.36,0.08
PTPRS,-0.0,-0.05,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.2,-0.0,0.08,-0.43
Observation,0.96,2.11,0.72,0.33,-0.0,0.45,0.01,0.0,0.0,0.23,0.07,0.05
