,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.03,0.25,0.0,-0.0,0.0,-0.85,-0.0,-0.0,-1.65,-0.0,-0.03,-0.01
TP53,0.23,1.53,-0.01,-0.61,-0.0,-0.0,-0.17,-0.11,-0.9,-0.0,-0.17,-0.14
KRAS,0.0,-0.0,1.14,0.0,0.0,-1.15,-0.01,0.0,-0.77,0.0,-0.01,-0.0
PIK3CA,0.0,-0.38,0.0,0.42,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
FBXW7,0.0,-0.0,0.0,-0.0,-0.31,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
BRAF,-0.78,-0.0,-1.0,0.0,-0.0,0.12,0.0,-0.0,0.01,-0.0,0.0,-0.0
ARID1A,-0.0,-0.12,-0.01,-0.0,-0.0,0.0,-0.51,-0.0,0.16,-0.0,0.08,0.0
SOX9,-0.0,-0.07,0.0,-0.0,0.0,-0.0,-0.0,-0.29,-0.0,0.0,0.0,-0.0
RNF43,-1.25,-0.52,-0.57,-0.0,-0.0,0.01,0.11,-0.0,0.24,-0.0,0.41,0.01
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.56,0.0,-0.0
KMT2D,-0.03,-0.12,-0.01,0.0,0.0,0.0,0.08,0.0,0.61,0.0,-0.56,0.0
PTPRS,-0.01,-0.1,-0.0,-0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-0.67
Observation,0.54,1.95,0.7,0.18,0.0,0.14,0.12,0.02,0.0,0.01,0.0,0.0
