,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.33,0.34,0.14,0.0,-0.02,-0.91,-0.0,0.0,-1.83,-0.1,-0.05,-0.0
TP53,0.36,1.93,-0.08,-0.54,0.0,-0.09,-0.09,-0.11,-1.07,0.0,-0.22,-0.01
KRAS,0.16,-0.07,1.51,0.07,-0.0,-1.26,-0.0,0.0,-1.19,0.01,-0.02,-0.01
PIK3CA,0.0,-0.3,0.07,0.78,-0.0,0.0,-0.01,-0.0,-0.18,-0.0,-0.0,-0.0
FBXW7,-0.02,0.0,-0.0,-0.0,0.11,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.78,-0.06,-1.08,0.0,-0.0,0.49,0.0,0.0,0.17,-0.0,0.01,-0.0
ARID1A,-0.0,-0.07,-0.0,-0.01,0.0,0.0,-0.21,-0.0,0.6,0.0,0.48,0.01
SOX9,0.0,-0.08,0.0,-0.0,-0.0,-0.0,-0.0,0.06,-0.01,0.0,0.0,0.0
RNF43,-1.48,-0.68,-0.86,-0.13,0.0,0.14,0.38,-0.0,0.7,-0.0,0.57,0.28
SMAD4,-0.07,0.0,0.01,-0.0,-0.01,-0.0,-0.0,0.0,-0.0,-0.07,-0.01,-0.0
KMT2D,-0.05,-0.15,-0.02,0.0,0.0,0.01,0.44,0.0,0.93,-0.01,-0.39,0.26
PTPRS,-0.0,-0.0,-0.01,-0.0,0.0,-0.0,0.01,0.0,0.46,-0.0,0.29,-0.49
Observation,0.87,2.16,0.87,0.13,0.0,0.32,0.28,0.21,0.0,0.24,0.04,0.04
