,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.17,0.18,0.0,-0.0,-0.0,-0.8,-0.01,0.0,-1.83,-0.0,-0.0,-0.0
TP53,0.16,1.59,-0.15,-0.52,-0.0,-0.0,-0.01,-0.13,-1.14,-0.0,-0.27,-0.0
KRAS,0.01,-0.1,1.18,0.0,0.0,-1.02,-0.0,-0.0,-0.74,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.33,0.0,0.35,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
FBXW7,-0.0,-0.0,0.0,0.0,-0.17,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
BRAF,-0.74,-0.0,-0.88,-0.0,0.0,0.18,-0.0,0.0,0.0,-0.0,0.0,-0.0
ARID1A,-0.01,-0.0,-0.0,0.0,0.0,-0.0,-0.53,-0.0,0.12,0.0,0.06,0.0
SOX9,0.0,-0.09,-0.0,0.0,0.0,0.0,-0.0,-0.39,-0.0,0.0,-0.0,-0.0
RNF43,-1.36,-0.64,-0.53,-0.0,0.0,0.0,0.08,-0.0,0.52,-0.0,0.5,0.0
SMAD4,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.44,-0.0,-0.0
KMT2D,-0.0,-0.19,-0.0,-0.0,0.0,0.0,0.05,0.0,0.73,-0.0,-0.64,0.0
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.82
Observation,0.57,2.0,0.63,0.26,0.0,0.05,0.01,0.0,0.0,0.18,0.0,0.0
