,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.06,0.3,0.07,-0.0,-0.0,-0.79,-0.0,-0.0,-1.7,-0.0,-0.0,-0.0
TP53,0.25,1.64,-0.03,-0.45,-0.0,-0.0,-0.29,-0.17,-1.06,-0.0,-0.15,-0.0
KRAS,0.08,-0.02,1.13,0.08,-0.0,-0.97,-0.0,0.0,-0.81,-0.0,-0.01,-0.0
PIK3CA,0.0,-0.29,0.08,0.36,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,-0.21,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
BRAF,-0.75,-0.0,-0.85,-0.0,0.0,0.16,0.0,0.0,0.11,-0.0,0.0,0.0
ARID1A,-0.0,-0.21,-0.0,0.0,0.0,0.0,-0.16,-0.0,0.01,-0.0,0.01,0.0
SOX9,-0.0,-0.12,0.0,-0.0,-0.0,-0.0,-0.0,-0.23,-0.0,-0.0,-0.0,0.0
RNF43,-1.26,-0.66,-0.58,-0.0,-0.0,0.1,0.0,0.0,0.38,0.0,0.55,0.0
SMAD4,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.41,-0.0,-0.0
KMT2D,-0.0,-0.11,-0.01,0.0,0.0,0.0,0.01,-0.0,0.81,0.0,-0.69,0.0
PTPRS,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.59
Observation,0.73,1.93,0.69,0.2,0.0,0.33,0.01,0.01,0.0,0.02,0.01,0.0
