,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.06,0.25,0.04,-0.0,-0.0,-0.62,-0.01,0.0,-1.9,-0.0,-0.0,-0.0
TP53,0.22,1.63,-0.16,-0.65,-0.0,-0.0,-0.08,-0.1,-1.12,0.0,-0.07,-0.0
KRAS,0.05,-0.12,1.22,0.0,0.0,-0.93,-0.0,0.0,-0.93,0.0,-0.0,-0.0
PIK3CA,-0.0,-0.43,0.0,0.31,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,-0.0,-0.0,0.0,-0.0,-0.25,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.6,-0.0,-0.86,-0.0,0.0,0.05,0.0,-0.0,0.01,-0.0,0.0,-0.0
ARID1A,-0.01,-0.06,-0.0,0.0,-0.0,0.0,-0.46,-0.0,0.06,-0.0,0.06,0.0
SOX9,0.0,-0.07,0.0,0.0,-0.0,-0.0,-0.0,-0.44,-0.0,-0.0,-0.0,-0.0
RNF43,-1.44,-0.66,-0.69,-0.0,0.0,0.01,0.04,-0.0,0.42,0.0,0.22,0.0
SMAD4,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.51,-0.0,-0.0
KMT2D,-0.0,-0.05,-0.0,0.0,0.0,0.0,0.06,0.0,0.34,-0.0,-0.56,0.0
PTPRS,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.81
Observation,0.72,1.88,0.63,0.12,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
