,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.4,0.28,0.19,0.04,-0.0,-1.07,-0.01,-0.04,-1.88,-0.0,-0.18,-0.19
TP53,0.26,1.85,-0.05,-0.48,-0.0,-0.0,-0.39,-0.32,-1.12,-0.0,-0.08,-0.12
KRAS,0.25,-0.04,1.36,0.06,-0.0,-1.3,-0.17,0.0,-1.0,0.0,-0.16,-0.0
PIK3CA,0.05,-0.3,0.07,0.59,-0.0,-0.03,-0.0,-0.0,-0.06,-0.04,-0.0,-0.02
FBXW7,-0.0,-0.0,-0.0,0.0,0.12,0.0,0.0,0.04,-0.0,-0.0,0.11,0.01
BRAF,-0.97,-0.0,-1.09,-0.02,0.0,0.39,0.0,-0.0,0.29,0.0,0.0,0.0
ARID1A,-0.01,-0.3,-0.14,0.0,0.0,0.0,-0.25,0.0,0.61,-0.0,0.21,0.18
SOX9,-0.03,-0.21,0.0,-0.0,0.04,-0.0,0.0,-0.17,-0.0,-0.0,0.0,0.0
RNF43,-1.51,-0.68,-0.72,-0.04,-0.0,0.23,0.36,-0.0,0.74,-0.0,0.6,0.24
SMAD4,-0.0,-0.0,0.0,-0.05,-0.0,0.0,-0.0,-0.0,-0.0,-0.27,-0.0,-0.0
KMT2D,-0.17,-0.05,-0.12,0.0,0.11,0.0,0.21,0.0,1.01,-0.0,-0.35,0.07
PTPRS,-0.19,-0.09,-0.0,-0.02,0.01,0.0,0.18,0.0,0.37,-0.0,0.08,-0.25
Observation,0.64,2.19,0.91,0.15,0.0,0.3,0.17,0.21,0.0,0.12,0.01,0.0
