,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.48,0.16,0.05,0.0,-0.0,-1.0,-0.0,0.0,-1.98,-0.0,-0.32,-0.0
TP53,0.15,1.91,-0.0,-0.6,-0.0,-0.05,-0.01,-0.2,-0.99,-0.02,-0.37,0.0
KRAS,0.06,-0.0,1.48,0.12,-0.0,-1.32,-0.18,0.01,-0.93,-0.0,-0.15,-0.02
PIK3CA,0.0,-0.37,0.13,0.69,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
FBXW7,0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
BRAF,-0.98,-0.04,-1.15,-0.0,-0.0,0.61,0.0,0.0,0.1,0.0,0.0,-0.0
ARID1A,-0.0,-0.01,-0.17,0.01,-0.0,0.0,-0.32,-0.0,0.4,0.0,0.46,0.0
SOX9,0.0,-0.14,0.01,-0.0,-0.0,0.0,-0.0,-0.16,0.0,0.0,-0.0,-0.0
RNF43,-1.67,-0.71,-0.69,-0.0,-0.0,0.08,0.26,0.0,0.73,-0.0,0.63,0.38
SMAD4,-0.0,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.22,-0.0,-0.0
KMT2D,-0.32,-0.26,-0.12,-0.0,0.0,0.0,0.38,-0.0,0.89,-0.0,-0.18,0.07
PTPRS,-0.01,-0.0,-0.02,-0.0,-0.0,-0.0,0.0,-0.0,0.55,-0.0,0.07,-0.43
Observation,0.63,2.23,1.01,0.07,0.01,0.57,0.33,0.0,0.0,0.22,0.01,0.07
