,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.11,0.58,0.15,-0.0,-0.0,-0.88,-0.01,-0.01,-1.74,-0.0,-0.01,-0.01
TP53,0.54,1.76,-0.06,-0.5,0.0,-0.0,-0.36,-0.34,-0.93,-0.0,-0.35,-0.0
KRAS,0.16,-0.04,1.34,0.14,-0.0,-1.25,-0.14,-0.0,-0.89,0.0,-0.02,-0.0
PIK3CA,-0.0,-0.36,0.15,0.58,-0.0,-0.0,-0.0,-0.0,-0.07,-0.02,-0.0,-0.0
FBXW7,-0.0,0.0,-0.0,-0.0,0.01,-0.01,0.0,0.0,-0.0,-0.0,0.0,0.0
BRAF,-0.78,-0.0,-1.07,0.0,-0.01,0.35,0.0,0.07,0.22,-0.0,0.0,-0.0
ARID1A,-0.01,-0.26,-0.11,0.0,0.0,0.0,-0.28,0.0,0.42,-0.0,0.58,0.01
SOX9,-0.01,-0.26,-0.0,-0.0,0.0,0.07,0.0,-0.06,-0.0,-0.0,0.0,0.0
RNF43,-1.27,-0.59,-0.66,-0.05,-0.0,0.2,0.27,-0.0,0.41,-0.0,0.62,0.24
SMAD4,-0.0,0.0,0.0,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19,-0.0,-0.0
KMT2D,-0.01,-0.26,-0.02,0.0,0.0,0.0,0.53,0.0,0.93,-0.0,-0.55,0.36
PTPRS,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.01,0.0,0.36,-0.0,0.41,-0.55
Observation,0.98,1.9,0.79,0.23,0.0,0.41,0.09,0.01,0.0,0.01,0.01,0.0
