,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.53,0.27,0.05,-0.0,0.0,-1.03,-0.01,-0.0,-1.8,-0.15,-0.18,-0.0
TP53,0.25,1.88,-0.0,-0.53,-0.03,-0.0,-0.01,-0.06,-1.0,-0.0,-0.36,-0.22
KRAS,0.06,-0.0,1.49,0.13,0.0,-1.33,-0.03,-0.0,-0.99,0.01,-0.12,-0.01
PIK3CA,-0.0,-0.35,0.15,0.73,0.0,-0.0,-0.0,0.0,-0.01,-0.02,-0.0,-0.01
FBXW7,0.0,-0.02,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.95,-0.0,-1.15,-0.0,-0.0,0.56,0.0,-0.0,0.25,-0.0,0.0,0.0
ARID1A,-0.01,-0.0,-0.03,0.0,-0.0,0.0,-0.2,0.0,0.69,-0.0,0.34,0.16
SOX9,-0.0,-0.04,-0.0,0.0,-0.0,-0.0,0.0,-0.03,0.0,0.0,0.0,0.0
RNF43,-1.27,-0.59,-0.72,-0.01,0.0,0.22,0.42,-0.0,0.63,-0.0,0.73,0.35
SMAD4,-0.12,-0.0,0.01,-0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0
KMT2D,-0.16,-0.26,-0.1,-0.0,0.0,0.0,0.29,0.0,1.07,-0.0,-0.13,0.27
PTPRS,-0.0,-0.16,-0.01,-0.01,0.0,0.0,0.16,0.0,0.54,0.0,0.32,-0.47
Observation,0.67,2.34,0.85,0.32,0.0,0.34,0.44,0.27,-0.0,0.21,0.0,0.01
