,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.13,0.14,0.01,-0.0,-0.0,-1.0,-0.0,-0.0,-1.68,-0.0,-0.0,-0.0
TP53,0.12,1.72,-0.0,-0.61,-0.0,-0.0,-0.14,-0.21,-0.94,-0.0,-0.08,-0.06
KRAS,0.01,-0.0,1.25,0.0,-0.0,-1.15,-0.16,-0.0,-0.87,-0.0,-0.0,-0.0
PIK3CA,-0.0,-0.4,0.0,0.48,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0
FBXW7,-0.0,-0.0,-0.0,-0.0,-0.13,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
BRAF,-0.86,-0.0,-0.95,-0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
ARID1A,-0.0,-0.1,-0.14,0.0,0.0,0.0,-0.35,0.0,0.25,0.0,0.32,0.0
SOX9,-0.0,-0.15,-0.0,0.0,-0.0,0.0,0.0,-0.42,0.0,-0.0,-0.0,0.0
RNF43,-1.28,-0.58,-0.62,-0.0,0.0,0.0,0.18,0.0,0.32,-0.0,0.47,0.0
SMAD4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.52,-0.0,0.0
KMT2D,-0.0,-0.06,-0.0,0.0,0.0,0.0,0.33,-0.0,0.69,-0.0,-0.56,0.0
PTPRS,-0.0,-0.04,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.66
Observation,0.77,1.76,0.84,0.11,0.0,0.18,0.01,0.01,0.0,0.01,0.0,0.0
