,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.36,0.39,0.11,0.0,-0.0,-1.07,-0.0,-0.0,-1.77,-0.09,-0.24,-0.25
TP53,0.39,1.84,-0.13,-0.57,-0.0,-0.09,-0.13,-0.13,-1.02,-0.0,-0.3,-0.02
KRAS,0.12,-0.09,1.56,0.0,-0.0,-1.44,-0.02,0.0,-1.22,0.0,-0.1,-0.0
PIK3CA,0.0,-0.37,0.0,0.79,0.0,-0.0,0.0,-0.0,-0.0,-0.19,-0.0,-0.0
FBXW7,0.0,0.0,-0.0,0.0,0.1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
BRAF,-0.97,-0.06,-1.3,-0.0,-0.0,0.48,0.0,-0.0,0.01,0.0,0.01,0.0
ARID1A,-0.0,-0.09,-0.02,0.0,-0.0,0.01,-0.09,-0.0,0.26,0.0,0.46,0.01
SOX9,-0.0,-0.08,0.0,-0.0,0.0,-0.0,-0.0,-0.02,0.0,0.0,0.0,-0.0
RNF43,-1.37,-0.57,-0.95,-0.0,-0.0,0.01,0.16,0.0,0.77,-0.0,0.59,0.22
SMAD4,-0.07,-0.0,0.0,-0.2,-0.0,0.0,0.0,0.0,-0.0,-0.1,-0.0,-0.0
KMT2D,-0.24,-0.19,-0.09,-0.0,0.0,0.01,0.41,0.0,0.86,-0.0,-0.24,0.04
PTPRS,-0.25,-0.01,-0.0,-0.0,0.0,0.0,0.01,-0.0,0.33,-0.0,0.05,-0.29
Observation,0.9,2.33,0.79,0.18,0.0,0.45,0.35,0.01,0.0,0.14,0.01,0.2
