,APC,TP53,KRAS,PIK3CA,FBXW7,BRAF,ARID1A,SOX9,RNF43,SMAD4,KMT2D,PTPRS
APC,2.28,0.4,0.0,-0.0,-0.0,-1.0,-0.09,-0.0,-2.01,-0.0,-0.04,-0.0
TP53,0.37,1.79,-0.3,-0.53,-0.09,-0.0,-0.48,-0.11,-0.96,0.0,-0.15,-0.01
KRAS,0.0,-0.21,1.52,0.0,0.0,-1.42,-0.14,0.0,-0.96,0.0,-0.18,-0.01
PIK3CA,-0.0,-0.4,0.01,0.65,-0.0,-0.0,0.0,0.0,-0.01,-0.02,0.0,-0.0
FBXW7,-0.0,-0.07,0.0,-0.0,-0.09,-0.0,0.0,-0.0,0.0,-0.0,0.01,0.0
BRAF,-0.92,-0.0,-1.31,-0.0,-0.0,0.37,0.0,-0.0,0.18,-0.0,0.0,0.0
ARID1A,-0.08,-0.32,-0.13,0.0,0.0,0.0,-0.29,-0.0,0.48,-0.0,0.54,0.05
SOX9,0.0,-0.08,0.0,0.0,-0.0,-0.0,-0.0,-0.06,-0.0,-0.0,-0.0,0.0
RNF43,-1.53,-0.54,-0.76,-0.01,0.0,0.17,0.31,0.0,0.57,-0.0,0.67,0.03
SMAD4,-0.0,0.0,0.0,-0.03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.35,-0.0,-0.0
KMT2D,-0.04,-0.1,-0.14,0.0,0.01,0.0,0.49,-0.0,0.98,0.0,-0.47,0.42
PTPRS,-0.0,-0.0,-0.01,0.0,0.0,0.0,0.06,0.0,0.05,-0.0,0.52,-0.57
Observation,0.88,2.03,0.65,0.14,0.0,0.23,0.29,0.14,0.0,0.19,0.0,0.0
